Name;NORAD_number;Revolution_number
SAUDISAT 3;31118;96897.0
SAUDICOMSAT 7;31119;96379.0
SAUDICOMSAT 6;31121;96167.0
CSTB 1;31122;96278.0
SAUDICOMSAT 5;31124;96486.0
SAUDICOMSAT 3;31125;96607.0
MAST;31126;96032.0
SAUDICOMSAT 4;31127;96280.0
LIBERTAD-1;31128;95982.0
CP3;31129;96014.0
CAPE-1;31130;95980.0
CP4;31132;96170.0
AEROCUBE 2;31133;96169.0
ASTRA 1L;31306;6603.0
GALAXY 17 (G-17);31307;6579.0
NIGCOMSAT 1;31395;6604.0
YAOGAN-2;31490;96837.0
GLOBALSTAR M065;31571;82894.0
GLOBALSTAR M069;31573;82970.0
GLOBALSTAR M072;31574;82726.0
GLOBALSTAR M071;31576;49063.0
EUTELSAT 8 WEST D;31577;3749.0
COSMO-SKYMED 1;31598;97007.0
TERRASAR-X;31698;99238.0
GENESIS 2;31789;98855.0
COSMOS 2428;31792;92161.0
ZHONGXING-6B;31800;6546.0
DIRECTV 10;31862;6539.0
SPACEWAY 3;32018;4248.0
BSAT-3A;32019;4650.0
INSAT-4CR;32050;4720.0
COSMOS 2429;32052;88667.0
WORLDVIEW-1 (WV-1);32060;98194.0
CBERS 2B;32062;92708.0
OPTUS D2;32252;6455.0
INTELSAT 11 (IS-11);32253;6451.0
WGS F1 (USA 195);32258;6430.0
NAVSTAR 60 (USA 196);32260;12878.0
GLOBALSTAR M067;32263;80505.0
GLOBALSTAR M070;32264;81020.0
GLOBALSTAR M066;32265;81094.0
GLOBALSTAR M068;32266;81310.0
COSMOS 2433 [GLONASS-M];32275;13652.0
COSMOS 2432 [GLONASS-M];32276;13654.0
COSMOS 2431 [GLONASS-M];32277;13662.0
SAR-LUPE 3;32283;97800.0
YAOGAN-3;32289;94637.0
STAR ONE C1;32293;1142.0
SKYNET 5B;32294;6418.0
ASTRA 4A;32299;4763.0
RADUGA-1M 1;32373;4841.0
COSMO-SKYMED 2;32376;94282.0
RADARSAT-2;32382;90889.0
NAVSTAR 61 (USA 199);32384;12754.0
RASCOM-QAF 1;32387;6350.0
HORIZONS-2;32388;6380.0
COSMOS 2434 [GLONASS-M];32393;13524.0
COSMOS 2435 [GLONASS-M];32394;13515.0
COSMOS 2436 [GLONASS-M];32395;13519.0
THURAYA-3;32404;6352.0
EXPRESS-AM33;32478;6360.0
THOR 5;32487;6316.0
KIZUNA (WINDS);32500;6287.0
AMC-14;32708;6408.0
NAVSTAR 62 (USA 201);32711;12571.0
DIRECTV 11;32729;6291.0
ICO G1;32763;6245.0
VINASAT-1;32767;6257.0
STAR ONE C2;32768;6264.0
TIANLIAN 1-01;32779;1145.0
GSAT0002 (GIOVE-B);32781;10372.0
CARTOSAT-2A;32783;91977.0
NTS (CANX-6);32784;92419.0
CUTE-1.7+APD II (CO-65);32785;92491.0
IMS-1;32786;92322.0
COMPASS-1;32787;92798.0
AAUSAT-II;32788;92913.0
CANX-2;32790;92474.0
SEEDS II (CO-66);32791;92628.0
RUBIN-8 & PSLV R/B;32792;91963.0
AMOS-3;32794;6243.0
GALAXY 18 (G-18);32951;4184.0
YUBILEINY (RS-30);32953;77012.0
COSMOS 2437;32954;76965.0
COSMOS 2438;32955;77008.0
COSMOS 2439;32956;76998.0
FENGYUN 3A;32958;87860.0
ZHONGXING-9;33051;6199.0
FGRST (GLAST);33053;93467.0
SKYNET 5C;33055;6194.0
TURKSAT 3A;33056;4834.0
ORBCOMM FM38;33060;90948.0
ORBCOMM FM41;33061;90898.0
ORBCOMM FM29;33062;90935.0
ORBCOMM FM39;33063;90855.0
ORBCOMM FM37;33064;90918.0
ORBCOMM FM40;33065;90941.0
JASON-2 (OSTM);33105;79215.0
COSMOS 2440;33108;6177.0
INTELSAT 25 (IS-25);33153;6168.0
BADR-6;33154;6171.0
ECHOSTAR 11;33207;4720.0
COSMOS 2441;33272;88996.0
SUPERBIRD-C2;33274;6137.0
AMC-21;33275;6145.0
INMARSAT 4-F3;33278;6125.0
RAPIDEYE 2;33312;90576.0
RAPIDEYE 5;33313;90554.0
RAPIDEYE 1;33314;90554.0
RAPIDEYE 3;33315;90599.0
RAPIDEYE 4;33316;90563.0
HUANJING 1A (HJ-1A);33320;89921.0
HUANJING 1B (HJ-1B);33321;89922.0
GEOEYE 1;33331;89155.0
NIMIQ 4;33373;6097.0
GALAXY 19 (G-19);33376;6082.0
COSMOS 2442 [GLONASS-M];33378;12940.0
COSMOS 2443 [GLONASS-M];33379;12940.0
COSMOS 2444 [GLONASS-M];33380;12940.0
DEMOSAT/FALCON 1;33393;90288.0
THEOS;33396;86121.0
SHIJIAN-6 03A (SJ-6 03A);33408;90238.0
SHIJIAN-6 03B (SJ-6 03B);33409;90265.0
COSMO-SKYMED 3;33412;89677.0
VENESAT-1;33414;6035.0
SHIYAN-3 (SY-3);33433;86197.0
CHUANGXIN 1-02 (CX-1-02);33434;86182.0
ASTRA 1M;33436;4172.0
YAOGAN-4;33446;88638.0
CIEL-2;33453;6005.0
EUTELSAT HOTBIRD 13C;33459;6023.0
EUTELSAT 48D;33460;5983.0
FENGYUN 2E;33463;6003.0
COSMOS 2447 [GLONASS-M];33466;12742.0
COSMOS 2449 [GLONASS-M];33467;12742.0
COSMOS 2448 [GLONASS-M];33468;12749.0
GOSAT (IBUKI);33492;87273.0
SPRITE-SAT (RISING);33494;87477.0
KAGAYAKI;33495;87570.0
SOHLA-1 (MAIDO-1);33496;87546.0
SDS-1;33497;87459.0
STARS (KUKAI);33498;87870.0
KKS-1 (KISEKI);33499;87689.0
KORONAS-FOTON;33504;89944.0
NOAA 19;33591;83823.0
EXPRESS-AM44;33595;4827.0
EXPRESS-MD1;33596;5910.0
NSS-9;33749;5950.0
EUTELSAT 33E;33750;5955.0
SPIRALE A;33751;24358.0
SPIRALE B;33752;15601.0
TELSTAR 11N;34111;4223.0
RADUGA-1 8;34264;5917.0
NAVSTAR 63 (USA 203);34661;11825.0
EUTELSAT 10A;34710;3711.0
WGS F2 (USA 204);34713;4160.0
BEIDOU-2 G2;34779;5836.0
YAOGAN-6;34839;89505.0
SES-7 (PROTOSTAR 2);34941;5861.0
MEASAT-3A;35362;401.0
GOES 14;35491;5814.0
FM-5;35493;4263.0
TERRESTAR-1;35496;5812.0
COSMOS 2451;35498;71799.0
COSMOS 2452;35499;71904.0
COSMOS 2453;35500;71830.0
RAZAKSAT;35578;85017.0
COSMOS 2454;35635;80201.0
STERKH 1;35636;80210.0
DEIMOS-1;35681;84791.0
DUBAISAT-1;35682;84620.0
UK-DMC 2;35683;84763.0
APRIZESAT 4;35684;85210.0
NANOSAT 1B;35685;85472.0
APRIZESAT 3;35686;85655.0
ASIASAT 5;35696;5766.0
NAVSTAR 64 (USA 206);35752;11533.0
JCSAT-12 (JCSAT-RA);35755;5765.0
OPTUS D3;35756;5754.0
PALAPA D;35812;5743.0
METEOR-M 1;35865;81249.0
STERKH 2;35866;81267.0
TATIANA 2;35868;81271.0
UGATUSAT;35869;81260.0
BLITS;35871;81165.0
NIMIQ 5;35873;5732.0
OCEANSAT-2;35931;82338.0
SWISSCUBE;35932;83068.0
BEESAT-1;35933;83085.0
UWE-2;35934;83046.0
ITUPSAT1;35935;83040.0
RUBIN 9.1 & RUBIN 9.2;35936;82284.0
AMAZONAS 2;35942;5716.0
COMSATBW-1;35943;5728.0
WORLDVIEW-2 (WV-2);35946;81827.0
DMSP 5D-3 F18 (USA 210);35951;80301.0
NSS-12;36032;5690.0
THOR 6;36033;5699.0
SMOS;36036;81583.0
PROBA-2;36037;82331.0
SJ-11-01;36088;82608.0
COSMOS 2455;36095;78944.0
INTELSAT 14 (IS-14);36097;5668.0
EUTELSAT 36B;36101;5669.0
INTELSAT 15 (IS-15);36106;3721.0
WGS F3 (USA 211);36108;5648.0
YAOGAN-7;36110;83059.0
COSMOS 2456 [GLONASS-M];36111;11988.0
COSMOS 2457 [GLONASS-M];36112;11993.0
COSMOS 2458 [GLONASS-M];36113;11991.0
YAOGAN-8;36121;73646.0
XIWANG-1 (HOPE-1);36122;74033.0
DIRECTV 12;36131;4254.0
BEIDOU-2 G1;36287;5615.0
RADUGA-1M 2;36358;5598.0
SDO;36395;5602.0
INTELSAT 16 (IS-16);36397;5570.0
COSMOS 2459 [GLONASS-M];36400;11824.0
COSMOS 2461 [GLONASS-M];36401;11828.0
COSMOS 2460 [GLONASS-M];36402;11819.0
EWS-G2 (GOES 15);36411;5562.0
YAOGAN-9 01A;36413;74610.0
YAOGAN-9 01B;36414;74587.0
YAOGAN-9 01C;36415;74604.0
ECHOSTAR 14;36499;4254.0
CRYOSAT 2;36508;80000.0
SES-1;36516;5502.0
COSMOS 2463;36519;75319.0
ASTRA 3B;36581;5485.0
COMSATBW-2;36582;5497.0
NAVSTAR 65 (USA 213);36585;10955.0
SERVIS 2;36588;71806.0
BEIDOU-2 G3;36590;5476.0
BADR-5;36592;4920.0
SJ-12;36596;81437.0
PICARD;36598;78938.0
PRISMA (MANGO);36599;79083.0
BPA-1 & SL-24 R/B;36600;74691.0
TANDEM-X;36605;82580.0
COMS 1;36744;4707.0
ARABSAT-5A;36745;5463.0
ECHOSTAR 15;36792;5431.0
CARTOSAT-2B;36795;80081.0
STUDSAT;36796;80518.0
AISSAT 1;36797;80437.0
ALSAT 2A;36798;79488.0
TISAT 1;36799;80675.0
PRISMA (TANGO);36827;77666.0
BEIDOU-2 IGSO-1;36828;5408.0
NILESAT 201;36830;5427.0
RASCOM-QAF 1R;36831;5427.0
YAOGAN-10;36834;79793.0
AEHF-1 (USA 214);36868;4964.0
COSMOS 2466 [GLONASS-M];37137;11430.0
COSMOS 2465 [GLONASS-M];37138;11432.0
COSMOS 2464 [GLONASS-M];37139;11434.0
ZHONGXING-6A;37150;5388.0
COSMOS 2467;37152;66577.0
STRELA 3;37153;66472.0
COSMOS 2468;37154;66611.0
QZS-1 (MICHIBIKI-1);37158;5287.0
YAOGAN-11;37165;78881.0
ZHEDA PIXING 1B;37166;79119.0
ZHEDA PIXING 1C;37167;79114.0
SBSS (USA 216);37168;79200.0
SHIJIAN-6 04A (SJ-6 04A);37179;79649.0
SHIJIAN-6 04B (SJ-6 04B);37180;79579.0
XM-5;37185;5347.0
GLOBALSTAR M079;37188;67272.0
GLOBALSTAR M074;37189;67259.0
GLOBALSTAR M076;37190;67230.0
GLOBALSTAR M077;37191;67266.0
GLOBALSTAR M075;37192;67138.0
GLOBALSTAR M073;37193;67339.0
EUTELSAT W3B;37206;13111.0
BSAT-3B;37207;4808.0
BEIDOU-2 G4;37210;5327.0
MERIDIAN 3;37212;10641.0
FENGYUN 3B;37214;75091.0
COSMO-SKYMED 4;37216;78537.0
SKYTERRA 1;37218;5321.0
RAX (USA 218);37223;5422.0
O/OREOS (USA 219);37224;5690.0
FASTSAT-HSV01 (USA 220);37225;5482.0
FASTRAC 1 (USA 222);37227;30645.0
ZHONGXING-20A;37234;5282.0
HYLAS 1;37237;287.0
INTELSAT 17 (IS-17);37238;4923.0
BEIDOU-2 IGSO-2;37256;5277.0
EUTELSAT KA-SAT 9A;37258;3999.0
HISPASAT 30W-5;37264;4916.0
KOREASAT 6;37265;5267.0
ELEKTRO-L 1 (GOMS 2);37344;5246.0
COSMOS 2471 [GLONASS-K];37372;11054.0
FASTRAC 2 (USA 228);37380;30639.0
BEIDOU-2 IGSO-3;37384;5164.0
RESOURCESAT-2;37387;72987.0
YOUTHSAT;37388;73060.0
X-SAT;37389;73123.0
INTELSAT 28 (IS-28);37392;5150.0
YAHSAT 1A;37393;3839.0
MERIDIAN 4;37398;10271.0
SBIRS GEO-1 (USA 230);37481;5138.0
TELSTAR 14R;37602;5182.0
GSAT-8;37605;4920.0
ST-2;37606;5123.0
SAC-D;37673;74871.0
ZHONGXING-10;37677;5098.0
SJ-11-03;37730;73865.0
TIANLIAN 1-02;37737;4013.0
GLOBALSTAR M083;37739;64238.0
GLOBALSTAR M088;37740;63793.0
GLOBALSTAR M091;37741;63872.0
GLOBALSTAR M085;37742;63974.0
GLOBALSTAR M081;37743;63938.0
GLOBALSTAR M089;37744;64021.0
GSAT-12;37746;3937.0
SES-3;37748;5068.0
KAZSAT-2;37749;4938.0
NAVSTAR 66 (USA 232);37753;10124.0
SPEKTR-R;37755;545.0
BEIDOU-2 IGSO-4;37763;5063.0
SJ-11-02;37765;73538.0
ASTRA 1N;37775;5039.0
BSAT-3C (JCSAT-110R);37776;4646.0
PAKSAT-1R;37779;5046.0
HAIYANG-2A;37781;69180.0
EDUSAT;37788;73744.0
NIGERIASAT-2;37789;73331.0
NIGERIASAT-X;37790;73194.0
RASAT;37791;73453.0
APRIZESAT 5;37792;73972.0
APRIZESAT 6;37793;73805.0
SICH-2;37794;73301.0
BPA-2 & SL-24 R/B;37795;68796.0
ZHONGXING-1A;37804;2332.0
COSMOS 2473;37806;346.0
SES-2;37809;4995.0
ARABSAT-5C;37810;4990.0
EUTELSAT 7 WEST A;37816;4988.0
TACSAT 4;37818;30016.0
QUETZSAT 1;37826;4586.0
COSMOS 2474 [GLONASS-M];37829;10590.0
INTELSAT 18 (IS-18);37834;4979.0
EUTELSAT 16A;37836;4977.0
JUGNU;37839;70238.0
VESSELSAT 1;37840;70158.0
SRMSAT;37841;70145.0
VIASAT-1;37843;4331.0
GSAT0101 (GALILEO-PFM);37846;8425.0
GSAT0102 (GALILEO-FM2);37847;8442.0
SUOMI NPP;37849;70167.0
COSMOS 2476 [GLONASS-M];37867;10528.0
COSMOS 2477 [GLONASS-M];37868;10522.0
COSMOS 2475 [GLONASS-M];37869;10523.0
YAOGAN-12;37875;75167.0
CHUANGXIN 1-03 (CX-1-03);37930;70584.0
SHIYAN-4 (SY-4);37931;70165.0
ASIASAT 7;37933;4945.0
COSMOS 2478 [GLONASS-M];37938;10459.0
BEIDOU-2 IGSO-5;37948;4938.0
AMOS-5;37950;4898.0
LUCH-5A;37951;4903.0
SSOT;38011;72514.0
PLEIADES 1A;38012;71369.0
NIGCOMSAT 1R;38014;4894.0
ZIYUAN 1-02C (ZY 1-02C);38038;70177.0
GLOBALSTAR M084;38040;61819.0
GLOBALSTAR M080;38041;61832.0
GLOBALSTAR M082;38042;61904.0
GLOBALSTAR M092;38043;61750.0
GLOBALSTAR M090;38044;61924.0
GLOBALSTAR M086;38045;61911.0
ZIYUAN 3-1 (ZY 3-1);38046;74178.0
FENGYUN 2F;38049;4883.0
WGS F4 (USA 233);38070;4013.0
LARES;38077;60685.0
SES-4;38087;4821.0
BEIDOU-2 G5;38091;4835.0
MUOS-1;38093;4843.0
INTELSAT 22 (IS-22);38098;317.0
COSMOS 2479;38101;4806.0
APSTAR-7;38107;4816.0
YAHSAT 1B;38245;4158.0
RISAT-1;38248;72008.0
BEIDOU-2 M3;38250;8882.0
BEIDOU-2 M4;38251;8847.0
AEHF-2 (USA 235);38254;297.0
TIANHUI 1-02;38256;72538.0
YAOGAN-14;38257;72504.0
JCSAT-13;38331;4752.0
VINASAT-2;38332;4264.0
GCOM-W1 (SHIZUKU);38337;69073.0
ARIRANG-3 (KOMPSAT-3);38338;69299.0
SDS-4;38339;69709.0
HORYU-2;38340;68914.0
NIMIQ 6;38342;4640.0
ZHONGXING-2A;38352;4728.0
YAOGAN-15;38354;62273.0
INTELSAT 19 (IS-19);38356;4642.0
NUSTAR;38358;579.0
ECHOSTAR 17;38551;4711.0
METEOSAT-10 (MSG-3);38552;4684.0
SES-5;38652;4046.0
EXACTVIEW-1 (ADS-1B);38709;66569.0
MKA-PN 1;38711;66582.0
TIANLIAN 1-03;38730;4690.0
COSMOS 2481;38733;58004.0
GONETS-M 3;38734;58095.0
YUBELEINY 2 (RS-40);38735;58012.0
GONETS-M 4;38736;57318.0
INTELSAT 20 (IS-20);38740;4673.0
HYLAS 2;38741;4684.0
EXPRESS-MD2;38745;51173.0
INTELSAT 21 (IS-21);38749;4651.0
RBSP A;38752;13308.0
RBSP B;38753;13064.0
SPOT 6;38755;67477.0
PROITERES;38756;68309.0
SMDC ONE 1.2;38759;5546.0
CSSWE;38761;5502.0
CXBN;38762;5757.0
CP5;38763;5587.0
CINEMA;38764;5581.0
RE;38765;5471.0
SMDC ONE 1.1;38766;5854.0
AEROCUBE 4.5A;38767;31057.0
METOP-B;38771;65643.0
BEIDOU-2 M5;38774;7037.0
BEIDOU-2 M6;38775;8584.0
ASTRA 2F;38778;4628.0
GSAT-10;38779;4608.0
VRSS-1;38782;68047.0
NAVSTAR 67 (USA 239);38833;9140.0
GSAT0103 (GALILEO-FM3);38857;7815.0
SJ-9A;38860;67944.0
SJ-9B;38861;68014.0
INTELSAT 23 (IS-23);38867;4593.0
BEIDOU-2 G6;38953;4589.0
LUCH-5B;38977;4616.0
YAMAL 300K;38978;4561.0
STAR ONE C3;38991;4584.0
EUTELSAT 21B;38992;4581.0
MERIDIAN 6;38995;9145.0
ECHOSTAR 16;39008;4561.0
YAOGAN-16 01A;39011;61228.0
YAOGAN-16 01B;39012;61221.0
YAOGAN-16 01C;39013;61236.0
ZHONGXING-12;39017;4569.0
PLEIADES 1B;39019;66254.0
EUTELSAT 70B;39020;4560.0
YAMAL 402;39022;4559.0
GOKTURK 2;39030;66556.0
SKYNET 5D;39034;4514.0
MEXSAT 3;39035;304.0
COSMOS 2482;39057;55898.0
COSMOS 2483;39058;55182.0
COSMOS 2484;39059;55883.0
TDRS 11;39070;4267.0
GLOBALSTAR M097;39072;56646.0
GLOBALSTAR M093;39073;56631.0
GLOBALSTAR M094;39074;56789.0
GLOBALSTAR M096;39075;56683.0
GLOBALSTAR M078;39076;56546.0
GLOBALSTAR M095;39077;56571.0
AMAZONAS 3;39078;4090.0
AZERSPACE 1;39079;4479.0
LANDSAT 8;39084;65146.0
SARAL;39086;63832.0
AAUSAT 3;39087;63991.0
SAPPHIRE;39088;63921.0
NEOSSAT;39089;63934.0
STRAND-1;39090;63955.0
BRITE-AUSTRIA;39091;63952.0
UNIBRITE;39092;63946.0
SBIRS GEO-2 (USA 241);39120;4457.0
EUTELSAT 117 WEST A;39122;4442.0
ANIK G1;39127;4423.0
DOVE 2;39132;66496.0
AIST-2 (RS-43);39133;66341.0
GAOFEN-1;39150;64925.0
NEE-01 PEGASO;39151;65100.0
TURKSAT-3USAT;39152;65135.0
CUBEBUG-1 (CAPITAN BETO);39153;65135.0
COSMOS 2485 [GLONASS-M];39155;9375.0
ZHONGXING-11;39157;4414.0
PROBA-V;39159;62417.0
VNREDSAT 1;39160;64174.0
ESTCUBE 1;39161;64587.0
EUTELSAT 7B;39163;4394.0
NAVSTAR 68 (USA 242);39166;8785.0
WGS F5 (USA 243);39168;4316.0
SES-6;39172;4371.0
COSMOS 2486;39177;63317.0
O3B FM5;39188;21712.0
O3B FM2;39190;21707.0
O3B PFM;39191;21663.0
IRIS;39197;64101.0
IRNSS-1A;39199;4333.0
SJ-11-05;39202;63068.0
MUOS-2;39206;4329.0
SHIYAN-7 (SY-7);39208;63329.0
CHUANGXIN-3 (CX-3);39209;63339.0
SHIJIAN-15 (SJ-15);39210;63551.0
ALPHASAT;39215;3999.0
INSAT-3D;39216;4329.0
WGS F6 (USA 244);39222;4304.0
ARIRANG-5 (KOMPSAT-5);39227;64377.0
ES'HAIL 1;39233;4261.0
GSAT-7;39234;4288.0
AMOS-4;39237;4288.0
YAOGAN-17 01A;39239;57443.0
YAOGAN-17 01B;39240;57447.0
YAOGAN-17 01C;39241;57452.0
GONETS-M 5;39249;52915.0
GONETS-M 6;39250;52921.0
GONETS-M 7;39251;52910.0
HISAKI (SPRINT-A);39253;57703.0
AEHF-3 (USA 246);39256;4267.0
FENGYUN 3C;39260;60204.0
CASSIOPE;39265;60728.0
CUSAT 1;39266;61081.0
DANDE;39267;60129.0
POPACS 1;39268;61038.0
POPACS 2;39269;60386.0
POPACS 3;39270;58045.0
ASTRA 2E;39285;4258.0
SHIJIAN-16 (SJ-16);39358;62676.0
FM-6;39360;4233.0
RADUGA-1M 3;39375;4211.0
YAOGAN-19;39410;55108.0
APRIZESAT 7;39416;62158.0
ZACUBE-1 (TSHEPISOSAT);39417;62076.0
SKYSAT-A;39418;62799.0
DUBAISAT-2;39419;62610.0
OPTOS;39420;61265.0
UNISAT-5;39421;62255.0
STSAT-3;39422;62419.0
WNISAT-1;39423;60842.0
CINEMA-2 (KHUSAT-2);39424;61673.0
APRIZESAT 8;39425;62017.0
CINEMA-3 (KHUSAT-2);39426;61532.0
TRITON-1;39427;61510.0
DELFI-N3XT;39428;61518.0
DOVE 3;39429;61222.0
GOMX-1;39430;61138.0
BRITE-PL1 (LEM);39431;60585.0
ICUBE-1;39432;62362.0
HUMSAT-D;39433;62602.0
VELOX-PII;39438;61933.0
FIRST-MOVE;39439;62068.0
CUBEBUG-2 (LO-74);39440;61730.0
NEE-02 KRYSAOR;39441;61796.0
PUCP-SAT 1;39442;62326.0
FUNCUBE-1 (AO-73);39444;61942.0
HINCUBE;39445;61933.0
UWE-3;39446;61777.0
BPA 3 & SL-24 R/B;39448;56212.0
SWARM B;39451;63682.0
SWARM A;39452;64440.0
SWARM C;39453;64436.0
SHIYAN-5 (SY-5);39455;60396.0
SES-8;39460;4041.0
ALICE;39467;5504.0
SMDC ONE 2.4;39469;5725.0
CUNYSAT-1;39470;5637.0
CP8 (IPEX);39471;5503.0
MCUBED-2;39472;5496.0
TACSAT 6;39473;5774.0
SMDC ONE 2.3;39474;5593.0
INMARSAT 5-F1;39476;4157.0
TKSAT-1 (TUPAC KATARI);39481;4158.0
COSMOS 2488;39483;51639.0
COSMOS 2489;39484;51621.0
COSMOS 2490;39485;51615.0
EXPRESS-AM5;39487;4234.0
COSMOS 2493 (SKRL-756 1);39490;61830.0
COSMOS 2494 (SKRL-756 2);39491;61880.0
AIST-1 (RS-41);39492;61780.0
COSMOS 2491 (RS-46);39497;51629.0
GSAT-14;39498;4156.0
THAICOM 6;39500;4144.0
TDRS 12;39504;4026.0
ABS-2;39508;4126.0
ATHENA-FIDUS;39509;4106.0
TURKSAT 4A;39522;4095.0
NAVSTAR 69 (USA 248);39533;8163.0
GPM-CORE;39574;63598.0
EXPRESS-AT1;39612;4104.0
EXPRESS-AT2;39613;4048.0
AMAZONAS 4A;39616;4085.0
ASTRA 5B;39617;4065.0
COSMOS 2492 [GLONASS-M];39620;8669.0
SJ-11-06;39624;59239.0
DMSP 5D-3 F19 (USA 249);39630;57340.0
SENTINEL-1A;39634;59171.0
IRNSS-1B;39635;4077.0
EGYPTSAT 2;39678;58876.0
LUCH-5V;39727;4034.0
KAZSAT-3;39728;4042.0
KAZEOSAT 1;39731;58096.0
NAVSTAR 70 (USA 251);39741;8050.0
COSMOS 2496;39761;49787.0
COSMOS 2497;39762;49779.0
COSMOS 2498;39763;49789.0
COSMOS 2499 (RS-47);39765;51394.0
ALOS-2;39766;59247.0
UNIFORM 1;39767;59450.0
SOCRATES;39768;59470.0
RISING 2;39769;59376.0
EUTELSAT 3B;39773;4020.0
COSMOS 2500 [GLONASS-M];40001;8491.0
KAZEOSAT 2;40010;58959.0
HODOYOSHI-4;40011;58935.0
UNISAT-6;40012;58670.0
DEIMOS-2;40013;59091.0
BUGSAT-1 (TITA);40014;59531.0
HODOYOSHI-3;40015;58827.0
SAUDISAT 4;40016;58696.0
TABLETSAT-AURORA;40017;59468.0
APRIZESAT 9;40018;58476.0
APRIZESAT 10;40019;58363.0
BRITE-CA1 (TORONTO);40020;58346.0
DUCHIFAT-1;40021;59404.0
PACE;40022;59270.0
NANOSATC-BR1;40024;59353.0
QB50P1;40025;59245.0
POPSAT-HIP-1;40028;59288.0
DTUSAT-2;40030;59223.0
FLOCK 1C-4;40031;59331.0
QB50P2;40032;59220.0
ANTELSAT;40034;58625.0
PERSEUS-M2;40037;59153.0
PERSEUS-M1;40039;59140.0
POLYITAN-1;40042;59258.0
TIGRISAT;40043;58655.0
LEMUR-1;40044;58651.0
AEROCUBE 6A;40045;58674.0
AEROCUBE 6B;40046;58690.0
SPOT 7;40053;57876.0
AISAT;40054;58709.0
CANX-4;40055;58536.0
CANX-5;40056;58536.0
VELOX-I;40057;58682.0
OCO 2;40059;57780.0
GONETS-M 8;40061;49272.0
GONETS-M 9;40062;49276.0
GONETS-M 10;40063;49252.0
METEOR-M 2;40069;56250.0
MKA-PN 2 (RELEC);40070;57500.0
DX1;40071;58665.0
SKYSAT-B;40072;58645.0
DUMMY SAT;40073;58623.0
UKUBE-1;40074;58817.0
AISSAT 2;40075;58703.0
TECHDEMOSAT-1 (TDS-1);40076;58793.0
O3B FM3;40079;19301.0
O3B FM7;40080;19784.0
O3B FM6;40081;19771.0
O3B FM8;40082;19791.0
ORBCOMM FM109;40086;57590.0
ORBCOMM FM107;40087;57594.0
ORBCOMM FM106;40088;57853.0
ORBCOMM FM111;40089;58494.0
ORBCOMM FM104;40090;57562.0
ORBCOMM FM103;40091;55894.0
USA 253;40099;2348.0
USA 254;40100;2360.0
USA 255;40101;2134.0
NAVSTAR 71 (USA 256);40105;7894.0
ASIASAT 8 (AMOS-7);40107;9813.0
YAOGAN-20 01A;40109;52858.0
YAOGAN-20 01B;40110;52842.0
YAOGAN-20 01C;40111;52844.0
WORLDVIEW-3 (WV-3);40115;58250.0
GAOFEN-2;40118;58006.0
BRITE-PL2 (HEWELIUSZ);40119;58169.0
GSAT0201 (GALILEO 5);40128;7088.0
GSAT0202 (GALILEO 6);40129;7298.0
LING QIAO;40136;55787.0
CHUANGXIN 1-04 (CX-1-04);40137;55785.0
ASIASAT 6;40141;3915.0
YAOGAN-21;40143;59406.0
OPTUS 10;40146;3901.0
MEASAT-3B;40147;3889.0
LUCH (OLYMP-K 1);40258;3698.0
SJ-11-07;40261;56642.0
HIMAWARI-8;40267;3885.0
IRNSS-1C;40269;3881.0
INTELSAT 30 (IS-30);40271;3873.0
ARSAT 1;40272;3860.0
YAOGAN-22;40275;50719.0
EXPRESS-AM6;40277;3866.0
SJ-11-08;40286;56262.0
NAVSTAR 72 (USA 258);40294;7717.0
MERIDIAN 7;40296;7719.0
ASNARO;40298;58328.0
YAOGAN-24;40310;56472.0
COSMOS 2501 [GLONASS-K];40315;8130.0
GSAT-16;40332;3808.0
DIRECTV 14;40333;3823.0
CBERS 4;40336;54658.0
YAOGAN-25 01A;40338;51181.0
YAOGAN-25 01B;40339;51178.0
YAOGAN-25 01C;40340;51190.0
YAMAL 401;40345;3839.0
O3B FM10;40348;19002.0
O3B FM11;40349;18988.0
O3B FM12;40350;18988.0
O3B FM9;40351;19003.0
DUMMY SAT 2 & BREEZE-M;40355;3544.0
COSMOS 2502;40358;52975.0
YAOGAN-26;40362;57763.0
ASTRA 2G;40364;3795.0
FENGYUN 2G;40367;3798.0
MUOS-3;40374;3780.0
SMAP;40376;54908.0
INMARSAT 5-F2;40384;3697.0
COSMOS 2503;40420;55874.0
ABS-3A;40424;3735.0
EUTELSAT 115 WEST B;40425;3738.0
MMS 1;40482;1631.0
MMS 2;40483;1629.0
MMS 3;40484;1629.0
MMS 4;40485;1629.0
EXPRESS-AM7;40505;3734.0
NAVSTAR 73 (USA 260);40534;7378.0
KOMPSAT-3A;40536;56011.0
GSAT0203 (GALILEO 7);40544;6236.0
GSAT0204 (GALILEO 8);40545;2539.0
IRNSS-1D;40547;3721.0
BEIDOU-3S IGSO-1S;40549;3704.0
GONETS-M 11;40552;45901.0
GONETS-M 12;40553;45907.0
GONETS-M 13;40554;45909.0
COSMOS 2504;40555;49577.0
THOR 7;40613;3680.0
TURKMENALEM52E/MONACOSAT;40617;3682.0
DIRECTV 15;40663;3652.0
SKY MEXICO-1;40664;3652.0
SENTINEL-2A;40697;51653.0
COSMOS 2506;40699;52474.0
GAOFEN-8;40701;54996.0
DMC3-FM1;40715;53053.0
