Name;NORAD_number;Revolution_number
OPS 9332 (IDSCS 17);2863;12032.0
OPS 9333 (IDSCS 18);2864;12714.0
OPS 9334 (IDSCS 19);2865;12577.0
LES-5;2866;12665.0
DODGE 1;2867;12901.0
SURCAL 159;2872;95418.0
OPS 5712 (P/L 152);2873;95255.0
OPS 5712 (P/L 153);2874;95086.0
AURORA 1;2876;35609.0
SURCAL 150B;2909;2038.0
OPS 7202 (DMSP 4A F3);2920;97607.0
OPS 4947 (TRANSIT 17);2965;84204.0
INTELSAT 2-F4;2969;11129.0
OPS 1264 (DMSP 4A F4);2980;4958.0
ATS 3;3029;21061.0
ESSA 6 (TOS-D);3035;63286.0
COSMOS 192;3047;4031.0
COSMOS 198;3081;91780.0
EXPLORER 36 (GEOS 2);3093;68600.0
COSMOS 203;3129;75370.0
OPS 7034 (TRANSIT 18);3133;54030.0
COSMOS 209;3158;91552.0
OV1-13;3173;50898.0
OV1-14;3174;44842.0
COSMOS 220;3229;3113.0
OPS 7869 (DMSP 4B F1);3266;85649.0
OPS 9341 (IDSCS 20);3284;4587.0
OPS 9342 (IDSCS 21);3285;22384.0
OPS 9343 (IDSCS 22);3286;13554.0
OPS 9344 (IDSCS 23);3287;22293.0
OPS 9345 (IDSCS 24);3288;13518.0
OPS 9346 (IDSCS 25);3289;4635.0
OPS 9347 (IDSCS 26);3290;4283.0
OPS 9348 (IDSCS 27);3291;22174.0
EXPLORER 38 (RAE-A);3307;33371.0
OPS 2222;3334;2214.0
EXPLORER 40 (INJUN 5);3338;52935.0
ESSA 7 (TOS-E);3345;59484.0
OV2-5;3428;11732.0
LES-6;3431;11698.0
COSMOS 249;3504;66821.0
OPS 4078 (DMSP 4B F2);3510;94010.0
COSMOS 252;3530;65438.0
COSMOS 256;3576;71300.0
OAO 2;3597;97545.0
OPS 7684;3605;59355.0
ESSA 8 (TOS-F);3615;58628.0
INTELSAT 3-F2;3623;12244.0
ISIS 1;3669;31492.0
OPS 2644;3673;59288.0
INTELSAT 3-F3;3674;6329.0
OPS 0757 (TACSAT);3691;11008.0
ESSA 9 (TOS-G);3764;93782.0
COSMOS 272;3818;70109.0
OV1-19;3825;94686.0
NIMBUS 3;3890;74707.0
SECOR 13 (EGRS 13);3891;74803.0
INTELSAT 3-F4;3947;6236.0
OPS 1127 (DMSP 4B F3);4047;90461.0
ATS 5;4068;4234.0
COSMOS 292;4070;94789.0
SOICAL [CONE];4132;86416.0
COSMOS 304;4138;93034.0
TEMPSAT 2;4168;83233.0
AZUR (GRS A);4221;66478.0
OPS 7613 (P/L 4);4237;83041.0
OPS 7613 (P/L 5);4247;83103.0
SKYNET 1A;4250;13049.0
COSMOS 312;4254;68654.0
OPS 7613 (P/L 1);4256;83444.0
TIMATION 2;4257;83074.0
OPS 7613 (P/L 3);4259;92649.0
OPS 7613 (P/L 6);4295;82961.0
INTELSAT 3-F6;4297;17315.0
ITOS 1 (TIROS M);4320;72422.0
OSCAR 5 (AO-5);4321;52781.0
SERT 2;4327;73904.0
OPS 0054 (DMSP 5A F1);4331;88031.0
NATO 2A;4353;12187.0
NIMBUS 4;4362;70302.0
TOPO 1;4363;70729.0
COSMOS 332;4369;91043.0
INTELSAT 3-F7;4376;4334.0
DFH 1;4382;59310.0
COSMOS 336;4383;50695.0
COSMOS 337;4384;49011.0
COSMOS 338;4385;49822.0
COSMOS 339;4386;51531.0
COSMOS 340;4387;52476.0
COSMOS 341;4388;54033.0
COSMOS 342;4389;54837.0
COSMOS 343;4390;53264.0
METEOR 1-5;4419;83211.0
INTELSAT 3-F8;4478;11873.0
NNSS 19 (TRANSIT 19);4507;69333.0
OPS 7329;4510;2077.0
OPS 0203 (DMSP 5A F2);4512;85414.0
COSMOS 367;4564;74793.0
COSMOS 371;4578;88784.0
COSMOS 372;4588;85540.0
COSMOS 374;4594;61714.0
COSMOS 375;4598;57661.0
OPS 5960 (DSP 1);4630;23903.0
COSMOS 381;4783;73113.0
COSMOS 382;4786;67485.0
NOAA 1;4793;49102.0
COSMOS 385;4799;73346.0
INTELSAT 4-F2;4881;11754.0
NATO 2B;4902;11460.0
COSMOS 394;4922;99614.0
TANSEI-1 (MS-T1);4952;69406.0
OPS 5268 (DMSP 5A F3);4953;84109.0
COSMOS 397;4964;61722.0
COSMOS 400;5050;71333.0
ISIS 2;5104;50403.0
COSMOS 402;5105;71302.0
COSMOS 407;5174;82317.0
COSMOS 409;5180;59950.0
OPS 3811 (DSP 2);5204;20230.0
COSMOS 411;5210;49421.0
COSMOS 412;5211;68393.0
COSMOS 413;5212;45270.0
COSMOS 414;5213;46729.0
COSMOS 415;5214;45975.0
COSMOS 416;5215;48045.0
COSMOS 417;5216;48729.0
COSMOS 418;5217;47373.0
COSMOS 422;5238;70254.0
OV1-21;5397;77796.0
RIGIDSPHERE 2 (LCS 4);5398;81637.0
EOLE 1 (CAS-A);5435;83820.0
SHINSEI (MS-F2);5485;49816.0
COSMOS 444;5547;46878.0
COSMOS 445;5548;46115.0
COSMOS 446;5549;45356.0
COSMOS 447;5550;44635.0
COSMOS 448;5551;43858.0
COSMOS 449;5552;42292.0
COSMOS 450;5553;43068.0
COSMOS 451;5554;41456.0
OPS 4311 (DMSP 5B F1);5557;78361.0
ASTEX 1;5560;81868.0
PROSPERO (BLACK ARROW);5580;69248.0
OPS 9431 (DSCS 2-1);5587;11800.0
OPS 9432 (DSCS 2-2);5588;4335.0
COSMOS 457;5614;56888.0
OPS 7898 (P/L 1);5678;30177.0
OPS 7898 (P/L 2);5680;29320.0
OPS 7898 (P/L 3);5681;30181.0
OPS 7898 (P/L 4);5682;29017.0
COSMOS 465;5683;67834.0
COSMOS 468;5705;79371.0
INTELSAT 4-F3;5709;11488.0
COSMOS 469;5721;68234.0
AUREOLE 1;5729;58579.0
METEOR 1-10;5731;73962.0
INTELSAT 4-F4;5775;13339.0
COSMOS 475;5846;67202.0
OPS 1570 (DSP 3);5851;2193.0
OPS 5058 (DMSP 5B F2);5903;83312.0
COSMOS 480;5905;55927.0
METEOR 1-11;5917;72806.0
COSMOS 489;6019;66210.0
INTELSAT 4-F5;6052;11786.0
COSMOS 494;6059;76700.0
METEOR 1-12;6079;70493.0
COSMOS 504;6117;43617.0
COSMOS 505;6118;42867.0
COSMOS 506;6119;42175.0
COSMOS 507;6120;41484.0
COSMOS 508;6121;40772.0
COSMOS 509;6122;40018.0
COSMOS 510;6123;39265.0
COSMOS 511;6124;38462.0
LANDSAT 1 (ERTS 1);6126;69203.0
COSMOS 514;6148;65825.0
OAO 3 (COPERNICUS);6153;80222.0
COSMOS 516;6154;65271.0
TRIAD 1;6173;77245.0
COSMOS 520;6192;38711.0
EXPLORER 47 (IMP-7);6197;358.0
COSMOS 521;6206;63693.0
OPS 8180 (STP RADSAT);6217;77995.0
NOAA 2 (ITOS-D);6235;40481.0
OSCAR 6 (AO-6);6236;40482.0
METEOR 1-13;6256;69916.0
COSMOS 528;6262;41930.0
COSMOS 529;6264;41064.0
COSMOS 530;6265;42715.0
COSMOS 531;6266;40606.0
COSMOS 532;6267;43449.0
COSMOS 533;6268;43057.0
COSMOS 534;6269;42304.0
COSMOS 535;6270;41464.0
OPS 7323 (DMSP 5B F3);6275;72775.0
ANIK A1 (TELESAT 1);6278;11507.0
NIMBUS 5;6305;57092.0
OPS 9390;6317;2149.0
COSMOS 539;6319;43914.0
COSMOS 540;6323;74150.0
COSMOS 546;6350;88142.0
OPS 6063;6380;2239.0
METEOR 1-14;6392;67636.0
ANIK A2 (TELESAT 2);6437;4315.0
METEOR 1-15;6659;67099.0
COSMOS 564;6675;38222.0
COSMOS 565;6676;36749.0
COSMOS 566;6677;37238.0
COSMOS 567;6678;37714.0
COSMOS 568;6679;38639.0
COSMOS 569;6680;39060.0
COSMOS 570;6681;39505.0
COSMOS 571;6682;39963.0
OPS 6157 (DSP 4);6691;2194.0
COSMOS 574;6707;3607.0
OPS 8364 (DMSP 5B F4);6787;69469.0
OPS 7724;6791;4154.0
INTELSAT 4-F7;6796;13167.0
OPS 8314 (2);6822;40947.0
COSMOS 585;6825;39269.0
COSMOS 586;6828;59217.0
COSMOS 588;6845;35239.0
COSMOS 589;6846;36103.0
COSMOS 590;6847;35701.0
COSMOS 591;6848;37700.0
COSMOS 592;6849;38104.0
COSMOS 593;6850;37345.0
COSMOS 594;6851;36932.0
COSMOS 595;6852;36530.0
NNSS 20 (TRANSIT 20);6909;77429.0
COSMOS 606;6916;37746.0
NOAA 3;6920;33227.0
OPS 6630 (2);6938;36311.0
COSMOS 614;6965;69668.0
OPS 9433 (DSCS 2-3);6973;11592.0
OPS 9434 (DSCS 2-4);6974;84372.0
COSMOS 617;6985;37064.0
COSMOS 618;6986;34520.0
COSMOS 619;6987;34949.0
COSMOS 620;6988;34023.0
COSMOS 621;6989;35432.0
COSMOS 622;6990;36265.0
COSMOS 623;6991;35837.0
COSMOS 624;6992;36667.0
AUREOLE 2;7003;64251.0
COSMOS 626;7005;59920.0
COSMOS 627;7008;57295.0
COSMOS 628;7094;57590.0
METEOR 1-16;7209;63865.0
MIRANDA (X-4);7213;68231.0
OPS 8579 (DMSP 5B F5);7218;66365.0
COSMOS 637;7229;11816.0
OPS 4547;7244;5480.0
WESTAR 1;7250;11832.0
COSMOS 641;7265;34327.0
COSMOS 642;7266;35902.0
COSMOS 643;7267;35115.0
COSMOS 644;7268;35508.0
COSMOS 645;7269;34724.0
COSMOS 646;7270;33895.0
COSMOS 647;7271;33521.0
COSMOS 648;7272;33037.0
METEOR 1-17;7274;62194.0
MOLNIYA 2-9;7276;27516.0
COSMOS 650;7281;36536.0
COSMOS 651;7291;59499.0
COSMOS 654;7297;56974.0
SMS 1;7298;11593.0
ATS 6;7318;11792.0
COSMOS 660;7337;58302.0
COSMOS 663;7349;55343.0
METEOR 1-18;7363;59606.0
OPS 7518 (NTS 1);7369;57027.0
MOLNIYA 2-10;7376;37166.0
MOLNIYA 1-S;7392;13015.0
OPS 6983 (DMSP 5B F6);7411;63747.0
COSMOS 675;7424;34549.0
COSMOS 676;7433;64546.0
COSMOS 677;7435;32608.0
COSMOS 678;7436;29589.0
COSMOS 679;7437;30072.0
COSMOS 680;7438;30480.0
COSMOS 681;7439;30930.0
COSMOS 682;7440;31341.0
COSMOS 683;7441;31774.0
COSMOS 684;7442;32148.0
WESTAR 2;7466;13365.0
COSMOS 689;7476;53178.0
METEOR 1-19;7490;59844.0
NOAA 4;7529;30966.0
OSCAR 7 (AO-7);7530;31036.0
INTASAT;7531;31012.0
INTELSAT 4-F8;7544;12121.0
SKYNET 2B;7547;12074.0
METEOR 1-20;7574;59397.0
SYMPHONIE 1;7578;11319.0
COSMOS 700;7593;53020.0
LANDSAT 2;7615;56324.0
COSMOS 706;7625;22840.0
STARLETTE;7646;53915.0
SMS 2;7648;13175.0
COSMOS 708;7663;32677.0
COSMOS 711;7678;28540.0
COSMOS 712;7679;29709.0
COSMOS 713;7680;30116.0
COSMOS 714;7681;28951.0
COSMOS 715;7682;85207.0
COSMOS 716;7683;27695.0
COSMOS 717;7684;27222.0
COSMOS 718;7685;29331.0
METEOR 1-21;7714;89143.0
COSMOS 723;7718;54313.0
